,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
12782, Ersatzfahrt für ICE  504,,ICE 2916,München Hbf 14:56-Nürnberg Hbf 16:01-Erlangen 16:17-Bamberg 16:40-Erfurt Hbf 17:26-Leipzig Hbf 18:10-Lutherstadt Wittenberg Hbf 18:46-Berlin Südkreuz 19:22-Berlin Hbf (tief) 19:29-Berlin-Spandau 19:48-Hamburg Hbf 21:24-Hamburg Dammtor 21:31-Hamburg-Altona 21:40,8000261.0,dep,Hamburg-Altona,19,14:56,20.06.19,Muenchen%238000261,0,ICE
13554, ,,ICE 1085,Hamburg-Altona 08:07-Hamburg Dammtor 08:15-Hamburg Hbf 08:28-Hamburg-Harburg 08:40-Lüneburg 08:59-Uelzen 09:16-Celle 09:39-Hannover Hbf 10:04-Göttingen 11:02-Kassel-Wilhelmshöhe 11:23-Fulda 11:56-Würzburg Hbf 12:32-Nürnberg Hbf 13:28-Ingolstadt Hbf 14:01-München Hbf 14:41,8000261.0,arr,Hamburg-Altona,23,14:41,20.06.19,Muenchen%238000261,0,ICE
13684, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,16:03,ICE 1113,Hamburg-Altona 05:20-Hamburg Dammtor 05:31-Hamburg Hbf 05:46-Hamburg-Harburg 05:57-Bremen Hbf 06:44-Osnabrück Hbf 07:37-Münster(Westf)Hbf 08:02-Dortmund Hbf 08:39-Essen Hbf 09:00-Duisburg Hbf 09:13-Düsseldorf Hbf 09:27-Köln Messe/Deutz Gl.11-12 09:49-Siegburg/Bonn 10:02-Frankfurt(M) Flughafen Fernbf 10:52-Mannheim Hbf 11:31-Stuttgart Hbf 12:14-Göppingen12:35-Ulm Hbf 13:12-Augsburg Hbf 13:55-München Hbf 14:27,8000261.0,arr,Hamburg-Altona,14,14:27,20.06.19,Muenchen%238000261,96,ICE
13822, Ersatzfahrt für ICE  786,,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:19-Würzburg Hbf 16:28-Fulda 17:02-Kassel-Wilhelmshöhe 17:34-Göttingen 17:55-Hannover Hbf 18:56-Celle 19:18-Uelzen 19:40-Lüneburg 19:56-Hamburg-Harburg 20:16-Hamburg Hbf 20:28-Hamburg Dammtor 20:35-Hamburg-Altona 20:45,8000261.0,dep,Hamburg-Altona,20,14:20,20.06.19,Muenchen%238000261,0,ICE
14259, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,16:16,ICE 1113,Hamburg-Altona 05:20-Hamburg Dammtor 05:31-Hamburg Hbf 05:46-Hamburg-Harburg 05:57-Bremen Hbf 06:44-Osnabrück Hbf 07:37-Münster(Westf)Hbf 08:02-Dortmund Hbf 08:39-Essen Hbf 09:00-Duisburg Hbf 09:13-Düsseldorf Hbf 09:27-Köln Messe/Deutz Gl.11-12 09:49-Siegburg/Bonn 10:02-Frankfurt(M) Flughafen Fernbf 10:52-Mannheim Hbf 11:31-Stuttgart Hbf 12:14-Göppingen12:35-Ulm Hbf 13:12-Augsburg Hbf 13:55-München Hbf 14:27,8000261.0,arr,Hamburg-Altona,14,14:27,20.06.19,Muenchen%238000261,109,ICE
14854, ,,ICE622,München Hbf 14:51-Nürnberg Hbf 15:54-Würzburg Hbf 16:52-Aschaffenburg Hbf 17:32-Frankfurt(Main)Hbf 18:04-Frankfurt(M) Flughafen Fernbf 18:22-Köln Messe/Deutz Gl.11-12 19:14-Düsseldorf Hbf 19:44-Duisburg Hbf 19:59-Essen Hbf 20:15-Bochum Hbf 20:28-Dortmund Hbf 20:42,8000261.0,dep,Dortmund Hbf,22,14:51,20.06.19,Muenchen%238000261,0,ICE
14899, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,16:17,ICE 1113,Hamburg-Altona 05:20-Hamburg Dammtor 05:31-Hamburg Hbf 05:46-Hamburg-Harburg 05:57-Bremen Hbf 06:44-Osnabrück Hbf 07:37-Münster(Westf)Hbf 08:02-Dortmund Hbf 08:39-Essen Hbf 09:00-Duisburg Hbf 09:13-Düsseldorf Hbf 09:27-Köln Messe/Deutz Gl.11-12 09:49-Siegburg/Bonn 10:02-Frankfurt(M) Flughafen Fernbf 10:52-Mannheim Hbf 11:31-Stuttgart Hbf 12:14-Göppingen12:35-Ulm Hbf 13:12-Augsburg Hbf 13:55-München Hbf 14:27,8000261.0,arr,Hamburg-Altona,14,14:27,20.06.19,Muenchen%238000261,110,ICE
15091, ,,ICE 1223,Köln Messe/Deutz Gl.11-12 08:25-Düsseldorf Hbf 08:47-Duisburg Hbf 09:02-Essen Hbf 09:17-Bochum Hbf 09:29-Dortmund Hbf 09:42-Hamm(Westf) 10:07-Soest 10:22-Lippstadt 10:33-Paderborn Hbf 10:49-Altenbeken 11:04-Warburg(Westf) 11:26-Kassel-Wilhelmshöhe 11:58-Fulda 12:28-Würzburg Hbf 13:13-Nürnberg Hbf 14:07-München Hbf 15:09,8000261.0,arr,Köln Messe/Deutz Gl.11-12,23,15:09,20.06.19,Muenchen%238000261,0,ICE
15096, Ersatzfahrt für ICE  623@@Grund: Verzögerungen im Betriebsablauf,15:40,ICE 2857,Würzburg Hbf 13:13-Nürnberg Hbf 14:07-München Hbf 15:09,8000261.0,arr,Würzburg Hbf,23,15:09,20.06.19,Muenchen%238000261,31,ICE
15114, ,15:28,ICE595,Berlin Gesundbrunnen 07:20-Berlin Hbf (tief) 07:28-Berlin Südkreuz 07:35-Lutherstadt Wittenberg Hbf 08:11-Leipzig Hbf 08:48-Erfurt Hbf 09:30-Eisenach 09:56-Fulda 10:50-Frankfurt(Main)Hbf 11:50-Mannheim Hbf 12:30-Stuttgart Hbf 13:14-Ulm Hbf 14:12-Augsburg Hbf 14:55-München Hbf 15:28,8000261.0,arr,Berlin Gesundbrunnen,13,15:28,20.06.19,Muenchen%238000261,0,ICE
