,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
19650, ,,ICE 1723,Hannover Hbf 18:04-Göttingen 19:00-Kassel-Wilhelmshöhe 19:21-Fulda 19:54-Würzburg Hbf 20:31-Nürnberg Hbf 21:25-Ingolstadt Hbf 21:59-München Hbf 22:39Göttingen - Würzburg Hbf: Information. Göttingen - München Hbf: Information. Göttingen - München Hbf: Information. Weitere Informationen,8000152.0,dep,München Hbf,4,18:04,20.06.19,Hannover%238000152,0,ICE
19662, ,,ICE773,Hannover Hbf 18:24-Göttingen 19:16-Kassel-Wilhelmshöhe 19:37-Frankfurt(Main)Hbf 21:00-Frankfurt(M) Flughafen Fernbf 21:17-Mannheim Hbf 21:54-Heidelberg Hbf 22:08-Stuttgart Hbf 22:50,8000152.0,dep,Stuttgart Hbf,4,18:24,20.06.19,Hannover%238000152,0,ICE
19665, ,,ICE554,Hannover Hbf 18:31-Bielefeld Hbf 19:24-Hamm(Westf) 19:54-Wuppertal Hbf 20:38-Köln Hbf 21:09,8000152.0,dep,Köln Hbf,12,18:31,20.06.19,Hannover%238000152,0,ICE
19666, Grund: Verspätung eines vorausfahrenden Zuges,18:34,ICE943,Hannover Hbf 18:31-Wolfsburg Hbf 19:03-Berlin-Spandau 19:58-Berlin Hbf (tief) 20:10-Berlin Gesundbrunnen 20:22,8000152.0,dep,Berlin Gesundbrunnen,9,18:31,20.06.19,Hannover%238000152,3,ICE
19671, Grund: Verzögerungen im Betriebsablauf,19:29,ICE 72,Hannover Hbf 18:37-Hamburg-Harburg 19:42-Hamburg Hbf 19:54-Hamburg Dammtor 20:01-Hamburg-Altona 20:10,8000152.0,dep,Hamburg-Altona,8,18:37,20.06.19,Hannover%238000152,52,ICE
19685, Ersatzfahrt für ICE  786,18:59,ICE 2896,Hannover Hbf 18:59-Celle 19:18-Uelzen 19:40-Lüneburg 19:56-Hamburg-Harburg 20:16-Hamburg Hbf 20:28-Hamburg Dammtor 20:35-Hamburg-Altona 20:45,8000152.0,dep,Hamburg-Altona,8,18:59,20.06.19,Hannover%238000152,0,ICE
19748, Grund: Verspätung eines vorausfahrenden Zuges,18:35,ICE943,Hannover Hbf 18:31-Wolfsburg Hbf 19:03-Berlin-Spandau 19:58-Berlin Hbf (tief) 20:10-Berlin Gesundbrunnen 20:22,8000152.0,dep,Berlin Gesundbrunnen,9,18:31,20.06.19,Hannover%238000152,4,ICE
19794, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,19:31,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:34,8000152.0,arr,Chur,8,18:34,20.06.19,Hannover%238000152,57,ICE
19835, Grund: Verzögerungen im Betriebsablauf,19:35,ICE 72,Hannover Hbf 18:37-Hamburg-Harburg 19:42-Hamburg Hbf 19:54-Hamburg Dammtor 20:01-Hamburg-Altona 20:10,8000152.0,dep,Hamburg-Altona,8,18:37,20.06.19,Hannover%238000152,58,ICE
19889, Grund: Warten auf freie Einfahrt,19:02,ICE885,Hamburg-Altona 17:12-Hamburg Dammtor 17:21-Hamburg Hbf 17:28-Hamburg-Harburg 17:39-Lüneburg 17:59-Uelzen 18:18-Celle 18:40-Hannover Hbf 18:59,8000152.0,arr,Hamburg-Altona,4,18:59,20.06.19,Hannover%238000152,3,ICE
