,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
32088, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,20:55,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,11,19:54,20.06.19,Hamburg%238002549,61,ICE
32165, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,20:56,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,11,19:54,20.06.19,Hamburg%238002549,62,ICE
32434, ,,ICE 2896,Hamburg Hbf 20:32-Hamburg Dammtor 20:35-Hamburg-Altona 20:45,8002549.0,dep,Hamburg-Altona,-,20:32,20.06.19,Hamburg%238002549,0,ICE
32435, ,,ICE907,Hamburg Hbf 20:34-Ludwigslust 21:17-Berlin-Spandau 22:11-Berlin Hbf (tief) 22:23-Berlin Südkreuz 22:31,8002549.0,dep,Berlin Südkreuz,8,20:34,20.06.19,Hamburg%238002549,0,ICE
32454, ,,ICE609,Hamburg Hbf 20:46-Bremen Hbf 21:41-Diepholz 22:11-Osnabrück Hbf 22:36-Münster(Westf)Hbf 23:01-Gelsenkirchen Hbf 23:45-Essen Hbf 23:58-Duisburg Hbf 00:12-Düsseldorf Hbf 00:26-Köln Hbf 00:50,8002549.0,dep,Köln Hbf,14,20:46,20.06.19,Hamburg%238002549,0,ICE
32778, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf@@Gleiswechsel,20:56,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,13,19:54,20.06.19,Hamburg%238002549,62,ICE
32855, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf@@Gleiswechsel,20:55,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,13,19:54,20.06.19,Hamburg%238002549,61,ICE
32932, ,,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,11,19:54,20.06.19,Hamburg%238002549,0,ICE
33003, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Polizeiliche Ermittlung,21:41,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,46,ICE
33080, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Polizeiliche Ermittlung,21:40,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,45,ICE
33201, ,,ICE786,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,11,20:28,20.06.19,Hamburg%238002549,0,ICE
33278, ,,ICE 2896,München Hbf 14:20-Nürnberg Hbf 15:34-Würzburg Hbf 16:30-Fulda 17:04-Kassel-Wilhelmshöhe 17:36-Göttingen 17:56-Hannover Hbf 18:59-Celle 19:20-Uelzen 19:42-Lüneburg 19:58-Hamburg-Harburg 20:18-Hamburg Hbf 20:28,8002549.0,arr,München Hbf,-,20:28,20.06.19,Hamburg%238002549,0,ICE
33910, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Polizeiliche Ermittlung,21:39,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,44,ICE
34296, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Polizeiliche Ermittlung,21:38,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:58-Kassel-Wilhelmshöhe 18:21-Göttingen 18:41-Hannover Hbf 19:37-Lüneburg 20:28-Hamburg-Harburg20:45-Hamburg Hbf 20:55,8002549.0,arr,Stuttgart Hbf,8,20:55,20.06.19,Hamburg%238002549,43,ICE
34327, Ersatzfahrt für ICE  504@@Gleiswechsel,21:26,ICE 2916,München Hbf 14:56-Nürnberg Hbf 16:04-Erlangen 16:19-Bamberg 16:42-Erfurt Hbf 17:28-Leipzig Hbf 18:16-Lutherstadt Wittenberg Hbf 18:48-Berlin Südkreuz 19:24-Berlin Hbf (tief) 19:40-Berlin-Spandau 19:50-Hamburg Hbf 21:24,8002549.0,arr,München Hbf,7,21:24,20.06.19,Hamburg%238002549,2,ICE
34334, Fahrt fällt aus,,ICE 1084,München Hbf 15:21-Ingolstadt Hbf 16:00-Nürnberg Hbf 16:33-Würzburg Hbf 17:28-Fulda 18:04-Kassel-Wilhelmshöhe 18:36-Göttingen 18:56-Hannover Hbf 19:59-Celle 20:20-Uelzen 20:42-Lüneburg 20:59-Hamburg Hbf 21:28,8002549.0,arr,München Hbf,11,21:28,20.06.19,Hamburg%238002549,0,ICE
