,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
15594, ,,ICE594,München Hbf 14:28-München-Pasing 14:37-Augsburg Hbf 15:03-Ulm Hbf 15:49-Stuttgart Hbf 16:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,16:45,20.06.19,Stuttgart%238098096,0,ICE
15819, ,,ICE577,Hamburg-Altona 10:46-Hamburg Dammtor 10:54-Hamburg Hbf 11:01-Hamburg-Harburg 11:12-Hannover Hbf 12:24-Göttingen 13:18-Kassel-Wilhelmshöhe 13:39-Frankfurt(Main)Hbf 15:06-Frankfurt(M) Flughafen Fernbf 15:23-Mannheim Hbf 15:56-Stuttgart Hbf 16:35,8098096.0,arr,Hamburg-Altona,5Stuttgart Hbf,16:35,20.06.19,Stuttgart%238098096,0,ICE
16307, ,,ICE594,Stuttgart Hbf 16:51-Mannheim Hbf 17:29-Frankfurt(Main)Hbf 18:08-Fulda 19:07-Eisenach 20:00-Erfurt Hbf 20:26-Leipzig Hbf 21:10-Lutherstadt Wittenberg Hbf 21:46-Berlin Südkreuz 22:22-Berlin Hbf (tief) 22:29-Berlin Gesundbrunnen 22:43,8098096.0,dep,Berlin Gesundbrunnen,10Stuttgart Hbf,16:51,20.06.19,Stuttgart%238098096,0,ICE
16991, Grund: Technische Störung am Zug,18:07,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:30-Stuttgart Hbf 17:08,8098096.0,arr,Hamburg-Altona,16Stuttgart Hbf,17:08,20.06.19,Stuttgart%238098096,59,ICE
16999, Gleiswechsel,17:24,ICE915,Dortmund Hbf 13:50-Bochum Hbf 14:04-Essen Hbf 14:15-Duisburg Hbf 14:38-Düsseldorf Hbf 14:54-Köln Messe/Deutz Gl.11-12 15:20-Frankfurt(M) Flughafen Fernbf 16:09-Mannheim Hbf 16:41-Stuttgart Hbf 17:20,8098096.0,arr,Dortmund Hbf,16Stuttgart Hbf,17:20,20.06.19,Stuttgart%238098096,4,ICE
17020, ,17:45,ICE 1212,München Hbf 15:28-München-Pasing 15:36-Augsburg Hbf 16:03-Ulm Hbf 16:49-Stuttgart Hbf 17:45,8098096.0,arr,München Hbf,10Stuttgart Hbf,17:45,20.06.19,Stuttgart%238098096,0,ICE
17105, ,,ICE915,Dortmund Hbf 13:50-Bochum Hbf 14:04-Essen Hbf 14:15-Duisburg Hbf 14:38-Düsseldorf Hbf 14:54-Köln Messe/Deutz Gl.11-12 15:20-Frankfurt(M) Flughafen Fernbf 16:09-Mannheim Hbf 16:41-Stuttgart Hbf 17:20,8098096.0,arr,Dortmund Hbf,10Stuttgart Hbf,17:20,20.06.19,Stuttgart%238098096,0,ICE
17202, Grund: Technische Störung am Zug,18:13,ICE599,Stuttgart Hbf 17:14-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,17:14,20.06.19,Stuttgart%238098096,59,ICE
17228, ,17:51,ICE 1212,Stuttgart Hbf 17:51-Mannheim Hbf 18:28-Frankfurt(M) Flughafen Fernbf 19:06-Siegburg/Bonn 19:50-Köln Messe/Deutz Gl.11-12 20:11-Düsseldorf Hbf 20:31-Duisburg Hbf 20:45-Essen Hbf 20:57-Bochum Hbf 21:08-Dortmund Hbf 21:21-Münster(Westf)Hbf 21:57-Osnabrück Hbf 22:23-Bremen Hbf 23:17-Hamburg-Harburg 00:03-Hamburg Hbf 00:15-Hamburg Dammtor 00:24-Hamburg-Altona 00:33,8098096.0,dep,Hamburg-Altona,10Stuttgart Hbf,17:51,20.06.19,Stuttgart%238098096,0,ICE
17299, Grund: Technische Störung am Zug,18:11,ICE599,Stuttgart Hbf 17:14-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8098096.0,dep,München Hbf,16Stuttgart Hbf,17:14,20.06.19,Stuttgart%238098096,57,ICE
