,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
8450, ,13:53,ICE925,Köln Hbf 13:53-Bonn Hbf 14:12-Koblenz Hbf 14:46-Mainz Hbf 15:39-Frankfurt(M) Flughafen Fernbf 15:59-Frankfurt(Main)Hbf 16:13,8000207.0,dep,Frankfurt(Main)Hbf,7,13:53,20.06.19,Koeln%238000207,0,ICE
8453, Grund: Türstörung,13:58,ICE 1109,Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:50-Mannheim Hbf 15:23-Stuttgart Hbf 16:08-Ulm Hbf 17:10-Augsburg Hbf 17:53-München-Pasing 18:18-München Hbf 18:27,8000207.0,dep,München Hbf,6,13:55,20.06.19,Koeln%238000207,3,ICE
8671, Grund: Türstörung,13:57,ICE 1109,Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:50-Mannheim Hbf 15:23-Stuttgart Hbf 16:08-Ulm Hbf 17:10-Augsburg Hbf 17:53-München-Pasing 18:18-München Hbf 18:27,8000207.0,dep,München Hbf,6,13:55,20.06.19,Koeln%238000207,2,ICE
8735, Grund: Notarzteinsatz am Gleis,15:14,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,129,ICE
8980, ,13:36,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,3,ICE
9049, Grund: Verspätung eines vorausfahrenden Zuges,13:48,ICE925,Hamburg-Altona 09:30-Hamburg Dammtor 09:38-Hamburg Hbf 09:46-Hamburg-Harburg 09:57-Bremen Hbf 10:44-Osnabrück Hbf 11:37-Münster(Westf)Hbf 12:02-Hamm(Westf) 12:22-Hagen Hbf 12:57-Wuppertal Hbf 13:14-Solingen Hbf 13:28-Köln Hbf 13:46,8000207.0,arr,Hamburg-Altona,7,13:46,20.06.19,Koeln%238000207,2,ICE
9092, ,13:33,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,0,ICE
9148, ,,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,0,ICE
9419, ,,ICE123,Köln Hbf 13:28-Frankfurt(M) Flughafen Fernbf 14:16-Frankfurt(Main)Hbf 14:31,8000207.0,dep,Frankfurt(Main)Hbf,6,13:28,20.06.19,Koeln%238000207,0,ICE
9557, Grund: Notarzteinsatz am Gleis,15:05,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,120,ICE
9597, ,13:46,ICE925,Hamburg-Altona 09:30-Hamburg Dammtor 09:38-Hamburg Hbf 09:46-Hamburg-Harburg 09:57-Bremen Hbf 10:44-Osnabrück Hbf 11:37-Münster(Westf)Hbf 12:02-Hamm(Westf) 12:22-Hagen Hbf 12:57-Wuppertal Hbf 13:14-Solingen Hbf 13:28-Köln Hbf 13:46,8000207.0,arr,Hamburg-Altona,7,13:46,20.06.19,Koeln%238000207,0,ICE
9725, Grund: Notarzteinsatz am Gleis,15:07,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,122,ICE
9781, Grund: Notarzteinsatz am Gleis,15:06,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,121,ICE
9877, ,,ICE925,Hamburg-Altona 09:30-Hamburg Dammtor 09:38-Hamburg Hbf 09:46-Hamburg-Harburg 09:57-Bremen Hbf 10:44-Osnabrück Hbf 11:37-Münster(Westf)Hbf 12:02-Hamm(Westf) 12:22-Hagen Hbf 12:57-Wuppertal Hbf 13:14-Solingen Hbf 13:28-Köln Hbf 13:46,8000207.0,arr,Hamburg-Altona,7,13:46,20.06.19,Koeln%238000207,0,ICE
10215, ,,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:49,8000207.0,arr,Dortmund Hbf,6,13:49,20.06.19,Koeln%238000207,0,ICE
10484, ,,ICE210,Köln Hbf 13:43-Aachen Hbf 14:16-Liège-Guillemins 14:44-Bruxelles-Nord 15:26-Bruxelles Midi 15:35Aachen Hbf: Information. Weitere Informationen,8000207.0,dep,Bruxelles Midi,6 D-G,13:43,20.06.19,Koeln%238000207,0,ICE
10492, ,,ICE925,Köln Hbf 13:53-Bonn Hbf 14:12-Koblenz Hbf 14:46-Mainz Hbf 15:39-Frankfurt(M) Flughafen Fernbf 15:59-Frankfurt(Main)Hbf 16:13,8000207.0,dep,Frankfurt(Main)Hbf,7,13:53,20.06.19,Koeln%238000207,0,ICE
10503, Grund: Notarzteinsatz am Gleis,15:10,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,125,ICE
10559, Grund: Notarzteinsatz am Gleis,15:11,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,126,ICE
10657, ,,ICE 1109,Köln Hbf 13:55-Frankfurt(M) Flughafen Fernbf 14:50-Mannheim Hbf 15:23-Stuttgart Hbf 16:08-Ulm Hbf 17:10-Augsburg Hbf 17:53-München-Pasing 18:18-München Hbf 18:27,8000207.0,dep,München Hbf,6,13:55,20.06.19,Koeln%238000207,0,ICE
11519, ,,ICE610,München Hbf 09:28-München-Pasing 09:36-Augsburg Hbf 10:03-Ulm Hbf 10:48-Stuttgart Hbf 11:51-Mannheim Hbf 12:36-Frankfurt(M) Flughafen Fernbf 13:09-Köln Hbf 14:05,8000207.0,arr,München Hbf,5,14:05,20.06.19,Koeln%238000207,0,ICE
11529, ,14:18,ICE211,Bruxelles Midi 12:25-Bruxelles-Nord 12:34-Liège-Guillemins 13:14-Aachen Hbf 13:39-Köln Hbf 14:15,8000207.0,arr,Bruxelles Midi,4 A-C,14:15,20.06.19,Koeln%238000207,3,ICE
11546, ,14:33,ICE124,Frankfurt(Main)Hbf 13:29-Frankfurt(M) Flughafen Fernbf 13:43-Köln Hbf 14:33,8000207.0,arr,Frankfurt(Main)Hbf,5,14:33,20.06.19,Koeln%238000207,0,ICE
11583, ,14:11,ICE610,Köln Hbf 14:11-Düsseldorf Hbf 14:31-Duisburg Hbf 14:45-Essen Hbf 14:57-Bochum Hbf 15:08-Dortmund Hbf 15:21,8000207.0,dep,Dortmund Hbf,5,14:11,20.06.19,Koeln%238000207,0,ICE
11596, ,14:28,ICE211,Köln Hbf 14:28-Frankfurt(M) Flughafen Fernbf 15:16-Frankfurt(Main)Hbf 15:31,8000207.0,dep,Frankfurt(Main)Hbf,4 A-C,14:28,20.06.19,Koeln%238000207,0,ICE
