,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
33093, Grund: Verspätung eines vorausfahrenden Zuges,21:34,ICE993,Hamburg-Altona 19:21-Hamburg Dammtor 19:29-Hamburg Hbf 19:36-Berlin-Spandau 21:12-Berlin Hbf (tief) 21:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),21:22,20.06.19,Berlin%238011160,12,ICE
33101, ,21:29,ICE502,München Hbf 16:55-Nürnberg Hbf 18:04-Erlangen 18:19-Bamberg 18:42-Erfurt Hbf 19:28-Leipzig Hbf 20:16-Lutherstadt Wittenberg Hbf 20:48-Berlin Südkreuz 21:24-Berlin Hbf (tief) 21:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),21:29,20.06.19,Berlin%238011160,0,ICE
33121, ,21:51,ICE 1000,München Hbf 17:57-Nürnberg Hbf 19:01-Erfurt Hbf 20:11-Berlin Hbf (tief) 21:51,8011160.0,arr,München Hbf,6Berlin Hbf (tief),21:51,20.06.19,Berlin%238011160,0,ICE
33124, Fährt heute erst ab Basel Bad Bf,21:56,ICE296,Basel SBB (Halt entfällt) 14:13-Basel Bad Bf 14:23-Freiburg(Breisgau) Hbf 14:55-Offenburg 15:27-Baden-Baden 15:42-Karlsruhe Hbf 16:01-Mannheim Hbf 16:32-Frankfurt(Main)Hbf 17:19-Fulda 18:15-Kassel-Wilhelmshöhe 18:48-Hildesheim Hbf 20:06-Braunschweig Hbf 20:29-Wolfsburg Hbf 20:48-Berlin Hbf 21:56,8011160.0,arr,Basel SBB,11,21:56,20.06.19,Berlin%238011160,0,ICE
33179, ,21:53,ICE 1000,München Hbf 17:57-Nürnberg Hbf 19:01-Erfurt Hbf 20:11-Berlin Hbf (tief) 21:51,8011160.0,arr,München Hbf,6Berlin Hbf (tief),21:51,20.06.19,Berlin%238011160,2,ICE
33208, ,,ICE840,Berlin Hbf (tief) 21:22-Stendal 22:16-Wolfsburg Hbf 22:47-Hannover Hbf 23:22,8011160.0,dep,Hannover Hbf,3Berlin Hbf (tief),21:22,20.06.19,Berlin%238011160,0,ICE
33212, Grund: Verspätung eines vorausfahrenden Zuges,21:38,ICE993,Berlin Hbf (tief) 21:28-Berlin Südkreuz 21:33-Lutherstadt Wittenberg Hbf 22:09-Bitterfeld 22:27-Leipzig Hbf 22:47-Erfurt Hbf 23:33-Gotha 23:55-Eisenach 00:10-Frankfurt(Main)Hbf 02:15-Frankfurt(M) Flughafen Fernbf 02:38-Mannheim Hbf 03:26-Stuttgart Hbf 04:44-Ulm Hbf 06:10-Günzburg 06:25-Augsburg Hbf 06:57-München-Pasing 07:21-München Hbf 07:32,8011160.0,dep,München Hbf,1Berlin Hbf (tief),21:28,20.06.19,Berlin%238011160,10,ICE
33379, ,,ICE502,München Hbf 16:55-Nürnberg Hbf 18:04-Erlangen 18:19-Bamberg 18:42-Erfurt Hbf 19:28-Leipzig Hbf 20:16-Lutherstadt Wittenberg Hbf 20:48-Berlin Südkreuz 21:24-Berlin Hbf (tief) 21:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),21:29,20.06.19,Berlin%238011160,0,ICE
33515, ,21:54,ICE 1000,München Hbf 17:57-Nürnberg Hbf 19:01-Erfurt Hbf 20:11-Berlin Hbf (tief) 21:51,8011160.0,arr,München Hbf,6Berlin Hbf (tief),21:51,20.06.19,Berlin%238011160,3,ICE
33603, Grund: Verspätung eines vorausfahrenden Zuges,21:35,ICE993,Hamburg-Altona 19:21-Hamburg Dammtor 19:29-Hamburg Hbf 19:36-Berlin-Spandau 21:12-Berlin Hbf (tief) 21:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),21:22,20.06.19,Berlin%238011160,13,ICE
33664, Grund: Verspätung eines vorausfahrenden Zuges,21:39,ICE993,Berlin Hbf (tief) 21:28-Berlin Südkreuz 21:33-Lutherstadt Wittenberg Hbf 22:09-Bitterfeld 22:27-Leipzig Hbf 22:47-Erfurt Hbf 23:33-Gotha 23:55-Eisenach 00:10-Frankfurt(Main)Hbf 02:15-Frankfurt(M) Flughafen Fernbf 02:38-Mannheim Hbf 03:26-Stuttgart Hbf 04:44-Ulm Hbf 06:10-Günzburg 06:25-Augsburg Hbf 06:57-München-Pasing 07:21-München Hbf 07:32,8011160.0,dep,München Hbf,1Berlin Hbf (tief),21:28,20.06.19,Berlin%238011160,11,ICE
33713, Grund: Verspätung eines vorausfahrenden Zuges,21:36,ICE993,Hamburg-Altona 19:21-Hamburg Dammtor 19:29-Hamburg Hbf 19:36-Berlin-Spandau 21:12-Berlin Hbf (tief) 21:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),21:22,20.06.19,Berlin%238011160,14,ICE
33829, ,,ICE993,Hamburg-Altona 19:21-Hamburg Dammtor 19:29-Hamburg Hbf 19:36-Berlin-Spandau 21:12-Berlin Hbf (tief) 21:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),21:22,20.06.19,Berlin%238011160,0,ICE
